strategy,entry_time,exit_time,direction,entry_price,exit_price,shares,pnl,hold_bars
gap_fade_h6,2026-07-22 09:35:00-04:00,2026-07-22 10:05:00-04:00,long,188.6914,191.8536,189.79,600.16,6
gap_fade_h6,2026-07-23 09:35:00-04:00,2026-07-23 10:05:00-04:00,long,197.9753,201.4048,161.67,554.47,6
gap_fade_h6,2026-07-24 09:35:00-04:00,2026-07-24 10:05:00-04:00,long,199.6088,199.254,192.26,-68.21,6
gap_fade_h6,2026-07-27 09:35:00-04:00,2026-07-27 10:05:00-04:00,short,198.788,196.5245,-178.47,403.96,6
gap_fade_h6,2026-07-28 09:35:00-04:00,2026-07-28 10:05:00-04:00,short,194.6448,194.8919,-178.87,-44.2,6
gap_fade_h6,2026-07-29 09:35:00-04:00,2026-07-29 10:05:00-04:00,long,193.99,194.3875,201.05,79.9,6
gap_fade_h6,2026-07-30 09:35:00-04:00,2026-07-30 10:05:00-04:00,long,198.1878,199.5439,181.03,245.5,6
gap_fade_h6,2026-07-31 09:35:00-04:00,2026-07-31 10:05:00-04:00,short,197.4888,198.131,-178.39,-114.56,6
gap_fade_h6,2026-08-03 09:35:00-04:00,2026-08-03 10:05:00-04:00,short,199.9934,198.6922,-181.54,236.22,6
gap_fade_h6,2026-08-04 09:35:00-04:00,2026-08-04 10:05:00-04:00,long,197.1337,198.9615,187.45,342.61,6
gap_fade_h6,2026-08-05 09:35:00-04:00,2026-08-05 10:05:00-04:00,long,189.7765,188.6367,189.52,-216.0,6
gap_fade_h6,2026-08-06 09:35:00-04:00,2026-08-06 10:05:00-04:00,long,184.1235,186.2831,180.29,389.35,6
tod_first_hour_L,2026-07-21 09:35:00-04:00,2026-07-21 10:35:00-04:00,long,196.9862,195.5638,181.79,-258.58,12
tod_first_hour_L,2026-07-22 09:35:00-04:00,2026-07-22 10:35:00-04:00,long,188.6914,192.0094,204.16,677.42,12
tod_first_hour_L,2026-07-23 09:35:00-04:00,2026-07-23 10:35:00-04:00,long,197.9753,199.7662,152.02,272.25,12
tod_first_hour_L,2026-07-24 09:35:00-04:00,2026-07-24 10:35:00-04:00,long,199.6088,198.2606,203.97,-274.98,12
tod_first_hour_L,2026-07-27 09:35:00-04:00,2026-07-27 10:35:00-04:00,long,198.788,198.5723,168.3,-36.3,12
tod_first_hour_L,2026-07-28 09:35:00-04:00,2026-07-28 10:35:00-04:00,long,194.6448,195.3001,188.6,123.59,12
tod_first_hour_L,2026-07-29 09:35:00-04:00,2026-07-29 10:35:00-04:00,long,193.99,193.8411,193.92,-28.88,12
tod_first_hour_L,2026-07-30 09:35:00-04:00,2026-07-30 10:35:00-04:00,long,198.1878,199.2265,176.16,182.98,12
tod_first_hour_L,2026-07-31 09:35:00-04:00,2026-07-31 10:35:00-04:00,long,197.4888,197.3546,177.4,-23.82,12
tod_first_hour_L,2026-08-03 09:35:00-04:00,2026-08-03 10:35:00-04:00,long,199.9934,200.2802,171.82,49.27,12
tod_first_hour_L,2026-08-04 09:35:00-04:00,2026-08-04 10:35:00-04:00,long,197.1337,199.5314,197.26,472.98,12
tod_first_hour_L,2026-08-05 09:35:00-04:00,2026-08-05 10:35:00-04:00,long,189.7765,190.2442,171.55,80.24,12
tod_first_hour_L,2026-08-06 09:35:00-04:00,2026-08-06 10:35:00-04:00,long,184.1235,187.8713,172.51,646.54,12
